user_id,lang,translated,approved,rejected
tsbook,cs,44739,0,0
eumel8,de,12384,81,0
jaegerandi,de,1471,43,0
cduch,de,90,654,0
eblock,de,600,0,0
rsimai,de,341,249,0
robcresswell,en-GB,2692,0,0
hybridpollo,es,1015,0,0
albertomolina,es,670,0,0
mariantb,es,506,48,0
egongu90,es,331,0,0
travisn,es,310,0,0
heleno_jimenez,es-MX,859,0,0
nuyori,fi-FI,2544,0,0
corin,fr,8457,21,0
croe,fr,34,8319,0
gael_rehault,fr,1266,5,0
jftalta,fr,1216,26,0
kodokuu,fr,375,477,0
henris,fr,409,189,0
zigmax,fr,540,0,0
pat,fr,345,9,0
alessandra,it,19431,30,0
amotoki,ja,65263,36676,319
to222,ja,26707,4362,46
shu,ja,2663,617,0
yuta_hono,ja,1216,152,0
ykatabam,ja,119,1248,0
mmasaki,ja,355,0,0
ianychoi,ko-KR,9820,13995,0
ujuc,ko-KR,5340,5618,0
frontjang,ko-KR,1850,31,0
kepark07,ko-KR,737,138,0
chuinggun,ko-KR,346,79,0
openstack,ko-KR,379,0,0
jimidar,pa-IN,328,0,0
deejay1,pl-PL,2300,0,0
josemello,pt-BR,2077,0,0
marcelodieder,pt-BR,1048,0,0
raildomascena,pt-BR,752,11,0
rbraga,pt-BR,435,0,0
lucasagomes,pt-BR,319,0,0
sfilatov,ru,1139,146,0
antoniok,ru,957,0,0
ftarasenko,ru,794,0,0
adiantum,ru,367,0,0
duyarli,tr-TR,1025,0,0
mucahit,tr-TR,333,690,0
liujunpeng,zh-CN,15934,141,13
rustinpeace,zh-CN,13813,24,5
zhugaoxiao,zh-CN,8712,534,0
jimmyli,zh-CN,3035,352,0
tfu,zh-CN,2793,0,0
zhangjingwen,zh-CN,1942,0,0
daisyycguo,zh-CN,303,1633,0
xuyang,zh-CN,565,0,0
huyupeng,zh-CN,541,0,0
webberguo,zh-TW,16773,0,0
willychen,zh-TW,10797,0,0
elliswu,zh-TW,4126,0,0
t09sunny,zh-TW,1752,1531,0
max821214,zh-TW,3217,0,0
zero00072,zh-TW,10,2554,0
kyle,zh-TW,2283,0,0
jameslee,zh-TW,2121,0,0
bokaitseng,zh-TW,992,0,0
