user_id,lang,translated,approved,rejected
amotoki,ja,100222,2365,36
to222,ja,73184,252,0
suhartono,id,69823,0,0
ianychoi,ko-KR,51448,11506,0
seyeon,ko-KR,4698,52941,0
lindayang,zh-CN,20128,32863,0
marquesc,pt-BR,7046,34697,0
jenniferkuo,zh-TW,13481,26843,0
alessandra,it,27355,11384,0
eugeniato,es,1565,31268,0
vcomas3,de,9242,21760,0
corin,fr,27143,1179,0
maoshuai,zh-CN,25077,0,0
mokhin2,ru,23073,0,0
zzxwill,zh-CN,22923,77,0
shu,ja,19104,1576,25
masami_sasahara,ja,18845,56,37
lenkahusakova,cs,10101,8312,0
tsutomu_kimura,ja,17691,115,138
andibing,en-GB,17207,34,0
lapalm,zh-CN,7576,7032,0
ujuc,ko-KR,6504,7752,0
mmarin,fr,4455,9515,0
eblock,de,8790,2406,0
caihui,zh-CN,10128,0,0
geraldlonlas,fr,7537,2507,0
eumel8,de,6129,3802,0
croe,fr,354,9122,0
liujunpeng,zh-CN,4242,4198,0
angelique_pillal16,fr,278,7420,0
max821214,zh-TW,7525,0,0
dynarro,it,7129,0,0
vuuv,zh-CN,3041,3482,0
webberguo,zh-TW,6346,0,0
sunanchen,zh-CN,6171,0,0
ericbaum,pt-BR,4862,864,0
sylvie_chesneau,fr,53,5669,0
adiantum,ru,5580,2,0
danny,zh-TW,4232,0,0
linlin,zh-CN,4172,0,0
yeguchi,ja,3979,0,0
porrua,es,3972,0,0
openstackhc,zh-CN,3825,0,0
zhsj,zh-CN,3585,0,0
rsimai,de,1799,1768,0
liujiong,zh-CN,3390,0,0
ykatabam,ja,381,2972,0
jaegerandi,de,1400,1724,0
pcaruana,es,2826,0,0
thnam,ko-KR,2811,4,0
josemello,pt-BR,2481,321,0
marcelodieder,pt-BR,1439,1255,0
zhugaoxiao,zh-CN,2307,357,18
bokaitseng,zh-TW,2394,0,0
robcresswell,en-GB,1989,0,0
willychen,zh-TW,1938,0,0
gecong,zh-CN,1723,0,0
stanislavulrych,cs,831,881,0
nburtsev,ru,1603,0,0
petro,zh-CN,1547,0,0
jftalta,fr,434,1079,0
kzaitsev,ru,1386,107,0
billxiang,zh-CN,1222,0,0
igene,zh-TW,997,137,0
liced,fr,867,72,0
changhuiyuan,zh-CN,902,0,0
zenglulu,zh-CN,882,0,0
egongu90,es,618,246,0
tsbook,cs,128,731,0
seonhopark,ko-KR,835,0,0
jameslee,zh-TW,714,0,0
terrytai820,zh-TW,665,32,0
wall_dirk,de,693,0,0
lstemmle,de,3,583,0
zhouchangxun,zh-CN,554,0,0
haruki,ja,525,13,9
itlinux,it,340,202,0
ciello89,fr,420,92,0
albertomolina,es,0,501,0
mucahit,tr-TR,0,495,0
hybridpollo,es,0,484,0
lony,zh-CN,480,0,0
myamamot,ja,68,387,0
loewal,de,453,0,0
mimisheep,zh-CN,452,0,0
gael_rehault,fr,0,435,0
ftarasenko,ru,387,15,0
sanporci,pt-BR,397,0,0
gael\__,fr,201,168,0
kodokuu,fr,113,256,0
mariantb,es,0,357,0
andrecampos,pt-BR,208,133,0
zigmax,fr,0,333,0
iranzo,es,216,107,0
otsuka,ja,322,0,0
komatineni,te-IN,319,0,0
sunjing,zh-CN,309,0,0
sasukeh,ja,277,0,0
zhengjie7800,zh-CN,258,0,0
nikoul,fr,254,0,0
yuta_hono,ja,233,0,20
chuinggun,ko-KR,130,110,0
henris,fr,0,236,0
romainsc,fr,0,235,0
cduch,de,29,179,0
jitaejang,ko-KR,204,0,0
