user_id,lang,translated,approved,rejected
suhartono,id,166739,0,0
thomas_vysokos,ru,32785,0,0
rsimai,de,31333,4989,0
amotoki,ja,26356,2195,0
ianychoi,ko-KR,25694,20,0
geraldlonlas,fr,19911,20,0
yusuke1219,ja,16837,6,0
zzxwill,zh-CN,13272,6,0
anikitenkov,ru,10156,14,0
zloykaban,ru,8367,0,0
petro,zh-CN,8048,0,0
yeguchi,ja,6588,239,4
aleksey,ru,6245,0,0
tfu,zh-CN,4809,0,0
maoshuai,zh-CN,4780,0,0
to222,ja,4413,156,0
corin,fr,4192,14132,0
stanislavulrych,cs,4051,14,0
shu,ja,3961,965,0
eumel8,de,3681,2660,0
sunanchen,zh-CN,3446,0,0
mbozhenko,ru,3337,4,0
nsmirnov,ru,2703,116,0
yryndenkova,ru,2668,0,0
eblock,de,2651,56,0
linlin,zh-CN,2480,0,0
apapsujko,ru,2397,0,0
zenglulu,zh-CN,1948,0,0
andibing,en-GB,1902,0,0
ishashero,ru,1881,88,0
h3c_wuhan,zh-CN,1606,0,0
liujunpeng,zh-CN,1538,0,0
ykatabam,ja,1388,1293,0
josemello,pt-BR,1131,0,0
seonhopark,ko-KR,1067,0,0
jaegerandi,de,1065,439,0
valentin,ru,1002,15,0
amikhalev,ru,907,0,0
istartsev,ru,849,0,0
adiantum,ru,792,9,0
deejay1,pl-PL,752,4,0
vsokolov,ru,745,94,0
liujiong,zh-CN,625,0,0
ujuc,ko-KR,586,18,0
duyarli,tr-TR,529,0,0
vstepurova,ru,497,0,0
ikochetova,ru,447,0,0
ciello89,fr,392,0,0
openstack,ko-KR,391,0,0
vponomaryov,ru,373,0,0
dmakarov,ru,352,0,0
