user_id,lang,project,version,translation-total,translated,needReview,approved,rejected,review-total,review-approved,review-rejected
yasir,ar,-,-,409,409,0,0,0,0,0,0
gomarivera,bg-BG,-,-,9,0,0,9,0,9,9,0
lenkahusakova,cs,-,-,2,0,2,0,0,0,0,0
tsbook,cs,-,-,1335,1335,0,0,0,0,0,0
aperri,de,-,-,189,134,0,55,0,0,0,0
eblock,de,-,-,121,0,0,121,0,0,0,0
eumel8,de,-,-,23285,21903,0,1382,0,17386,17386,0
jaegerandi,de,-,-,895,554,0,341,0,0,0,0
rsimai,de,-,-,11370,7445,0,3925,0,205,205,0
senk,de,-,-,10,0,0,10,0,0,0,0
fifieldt,en-AU,-,-,1134,1134,0,0,0,0,0,0
andibing,en-GB,-,-,114437,114435,0,2,0,4,4,0
gehennem,eo,-,-,9855,9855,0,0,0,0,0,0
albertomolina,es,-,-,1873,1873,0,0,0,0,0,0
ccamacho,es,-,-,253,253,0,0,0,0,0,0
egongu90,es,-,-,1698,1698,0,0,0,0,0,0
gomarivera,es,-,-,52,0,0,52,0,55,55,0
zeusal,es,-,-,2247,2247,0,0,0,1,0,1
adri2000,fr,-,-,10,0,0,10,0,0,0,0
corin,fr,-,-,1787,1784,0,3,0,0,0,0
fdotfr,fr,-,-,0,0,0,0,0,0,0,0
geraldlonlas,fr,-,-,120,0,0,120,0,0,0,0
gonarys,fr,-,-,16,16,0,0,0,0,0,0
jftalta,fr,-,-,845,542,0,303,0,588,588,0
liced,fr,-,-,916,916,0,0,0,0,0,0
lnic,fr,-,-,1949,1928,0,21,0,0,0,0
makowals,fr,-,-,190,186,0,4,0,0,0,0
pat,fr,-,-,23,23,0,0,0,0,0,0
plarivee,fr,-,-,1249,1231,0,16,2,0,0,0
sitle,fr,-,-,32,0,0,32,0,0,0,0
tmorin,fr,-,-,109,109,0,0,0,0,0,0
zigmax,fr,-,-,3,0,0,3,0,0,0,0
sendz,id,-,-,139,134,5,0,0,0,0,0
suhartono,id,-,-,99735,99735,0,0,0,0,0,0
ltoscano,it,-,-,300,291,9,0,0,0,0,0
amotoki,ja,-,-,6982,6101,0,881,0,0,0,0
haruki,ja,-,-,28,28,0,0,0,0,0,0
hidekazuna,ja,-,-,1995,1995,0,0,0,0,0,0
sasukeh,ja,-,-,86,86,0,0,0,0,0,0
shu,ja,-,-,10102,9893,0,209,0,0,0,0
yfukuda,ja,-,-,377,377,0,0,0,0,0,0
ykatabam,ja,-,-,1082,801,0,281,0,1378,1378,0
bryan_tak,ko-KR,-,-,1035,1027,0,8,0,0,0,0
chancethecoder,ko-KR,-,-,5,0,0,5,0,0,0,0
heetaeahn,ko-KR,-,-,30,30,0,0,0,0,0,0
ianychoi,ko-KR,-,-,10069,8646,0,1423,0,0,0,0
jitaejang,ko-KR,-,-,78,0,0,78,0,0,0,0
johjuhyun,ko-KR,-,-,323,323,0,0,0,0,0,0
jongwooh,ko-KR,-,-,1050,1050,0,0,0,0,0,0
jsshin,ko-KR,-,-,468,448,0,20,0,0,0,0
koain,ko-KR,-,-,533,427,0,106,0,0,0,0
michaelko,ko-KR,-,-,452,452,0,0,0,0,0,0
minwookshin,ko-KR,-,-,8967,8954,0,13,0,0,0,0
nexusz99,ko-KR,-,-,11,0,0,11,0,0,0,0
openstack,ko-KR,-,-,846,846,0,0,0,0,0,0
seokjae,ko-KR,-,-,188,188,0,0,0,0,0,0
ujuc,ko-KR,-,-,3225,1964,0,1261,0,3515,3515,0
vi01et,ko-KR,-,-,62,0,0,62,0,0,0,0
wonil22,ko-KR,-,-,157,121,0,36,0,87,87,0
woobee,ko-KR,-,-,9173,9173,0,0,0,0,0,0
dsantos,pt-BR,-,-,311,311,0,0,0,0,0,0
fcpimenta,pt-BR,-,-,5773,5773,0,0,0,0,0,0
franciosi,pt-BR,-,-,63,63,0,0,0,0,0,0
ricardobras,pt-BR,-,-,69,69,0,0,0,0,0,0
adiantum,ru,-,-,1108,1107,0,1,0,1,1,0
anndro,tr-TR,-,-,5,0,0,5,0,170,170,0
duyarli,tr-TR,-,-,129,0,0,129,0,0,0,0
isbaran,tr-TR,-,-,218,172,2,44,0,10,10,0
yasemindemiral,tr-TR,-,-,4567,4565,0,2,0,0,0,0
bin,zh-CN,-,-,6421,6421,0,0,0,0,0,0
robin_x,zh-CN,-,-,48,48,0,0,0,0,0,0
tfu,zh-CN,-,-,1499,1499,0,0,0,0,0,0
tigerfang,zh-CN,-,-,3202,3159,43,0,0,0,0,0
vuuv,zh-CN,-,-,161,159,2,0,0,0,0,0
zhonghuali,zh-CN,-,-,344,326,18,0,0,0,0,0
zzxwill,zh-CN,-,-,499,499,0,0,0,0,0,0
derekjhyang,zh-TW,-,-,17,16,0,1,0,8,8,0
fifieldt,zh-TW,-,-,1222,1222,0,0,0,0,0,0
igene,zh-TW,-,-,5489,5482,0,7,0,0,0,0
kyle,zh-TW,-,-,8,8,0,0,0,0,0,0
