user_id,lang,project,version,translation-total,translated,needReview,approved,rejected,review-total,review-approved,review-rejected
tsbook,cs,-,-,8,8,0,0,0,0,0,0
eblock,de,-,-,15,0,0,15,0,0,0,0
eumel8,de,-,-,11136,11107,0,29,0,1348,1348,0
jaegerandi,de,-,-,1161,784,0,377,0,0,0,0
lstemmle,de,-,-,1,0,0,1,0,0,0,0
rsimai,de,-,-,7253,7129,12,112,0,52,52,0
senk,de,-,-,6,0,0,6,0,4,4,0
spielkind,de,-,-,2538,1946,0,592,0,0,0,0
andibing,en-GB,-,-,153252,153252,0,0,0,0,0,0
gehennem,eo,-,-,21675,21675,0,0,0,0,0,0
albertomolina,es,-,-,3350,3350,0,0,0,0,0,0
ccamacho,es,-,-,617,617,0,0,0,0,0,0
vgerardojr,es,-,-,10,10,0,0,0,0,0,0
heleno_jimenez,es-MX,-,-,24,24,0,0,0,0,0,0
jmont,es-MX,-,-,5276,5204,72,0,0,0,0,0
corin,fr,-,-,465,462,3,0,0,0,0,0
geraldlonlas,fr,-,-,129,0,0,129,0,0,0,0
jftalta,fr,-,-,902,659,0,243,0,514,514,0
liced,fr,-,-,49,49,0,0,0,0,0,0
linkid,fr,-,-,1197,1172,25,0,0,0,0,0
lnic,fr,-,-,936,850,8,78,0,0,0,0
makowals,fr,-,-,18,0,0,18,0,0,0,0
pat,fr,-,-,8,0,0,8,0,0,0,0
plarivee,fr,-,-,1,0,0,1,0,0,0,0
tmorin,fr,-,-,53,53,0,0,0,0,0,0
suhartono,id,-,-,27215,27215,0,0,0,0,0,0
akihito_inoh,ja,-,-,117,117,0,0,0,0,0,0
amotoki,ja,-,-,7877,6205,2,1670,0,0,0,0
ha_miyamoto,ja,-,-,3449,3449,0,0,0,0,0,0
haruki,ja,-,-,218,218,0,0,0,0,0,0
hidekazuna,ja,-,-,4,0,0,4,0,0,0,0
kuroshun,ja,-,-,841,841,0,0,0,0,0,0
shu,ja,-,-,15310,15264,0,46,0,0,0,0
to222,ja,-,-,2,0,0,2,0,0,0,0
ykatabam,ja,-,-,740,531,0,209,0,2298,2298,0
yusuke1219,ja,-,-,1,0,0,1,0,0,0,0
ianychoi,ko-KR,-,-,9221,9184,20,17,0,85,85,0
jaewook_oh,ko-KR,-,-,2795,2677,118,0,0,0,0,0
janghe11,ko-KR,-,-,16,16,0,0,0,0,0,0
jsshin,ko-KR,-,-,220,220,0,0,0,0,0,0
minwookshin,ko-KR,-,-,49,49,0,0,0,0,0,0
seokjae,ko-KR,-,-,42,42,0,0,0,0,0,0
ujuc,ko-KR,-,-,4767,4661,0,106,0,36,36,0
vi01et,ko-KR,-,-,81,0,0,81,0,0,0,0
wonil22,ko-KR,-,-,445,445,0,0,0,83,83,0
woobee,ko-KR,-,-,3062,3062,0,0,0,0,0,0
surit,ne,-,-,366,364,2,0,0,0,0,0
deejay1,pl-PL,-,-,1,1,0,0,0,0,0,0
nokostya,pt,-,-,247,247,0,0,0,0,0,0
ebrandi,pt-BR,-,-,1,1,0,0,0,0,0,0
ericbaum,pt-BR,-,-,15,0,0,15,0,0,0,0
fcpimenta,pt-BR,-,-,14269,13442,0,827,0,0,0,0
franciosi,pt-BR,-,-,133,105,0,28,0,0,0,0
josemello,pt-BR,-,-,59,0,0,59,0,0,0,0
loures,pt-BR,-,-,6334,4196,0,2138,0,3137,3093,44
marcelodieder,pt-BR,-,-,1214,1209,0,5,0,5,5,0
marquesc,pt-BR,-,-,1,0,0,1,0,0,0,0
nokostya,pt-BR,-,-,2,2,0,0,0,0,0,0
northward,pt-BR,-,-,226,226,0,0,0,0,0,0
ricardobras,pt-BR,-,-,8,0,0,0,8,0,0,0
adiantum,ru,-,-,189,189,0,0,0,0,0,0
dayou,zh-CN,-,-,2,2,0,0,0,0,0,0
frank,zh-CN,-,-,2398,2398,0,0,0,0,0,0
jenner,zh-CN,-,-,113,113,0,0,0,0,0,0
jiangyikun,zh-CN,-,-,20,20,0,0,0,0,0,0
leiyahsuai,zh-CN,-,-,3,0,3,0,0,0,0,0
shuquan,zh-CN,-,-,2069,2069,0,0,0,0,0,0
tfu,zh-CN,-,-,1756,1756,0,0,0,0,0,0
tigerfang,zh-CN,-,-,1799,1799,0,0,0,0,0,0
topicblue,zh-CN,-,-,47,47,0,0,0,0,0,0
vuuv,zh-CN,-,-,132,132,0,0,0,0,0,0
xywang,zh-CN,-,-,34,34,0,0,0,0,0,0
yagehu,zh-CN,-,-,174,174,0,0,0,0,0,0
yanghongyu,zh-CN,-,-,34,34,0,0,0,0,0,0
yihleong,zh-CN,-,-,2556,2556,0,0,0,0,0,0
igene,zh-TW,-,-,467,467,0,0,0,0,0,0
yihleong,zh-TW,-,-,2562,2562,0,0,0,0,0,0
