user_id,lang,project,version,translation-total,translated,needReview,approved,rejected,review-total,review-approved,review-rejected
linkid,ar,-,-,6,6,0,0,0,0,0,0
majed_alangari,ar,-,-,2629,2629,0,0,0,0,0,0
alexanderloew2,de,-,-,1019,1019,0,0,0,0,0,0
eumel8,de,-,-,10114,10109,4,1,0,1,1,0
jaegerandi,de,-,-,8145,8145,0,0,0,0,0,0
rsimai,de,-,-,4580,4551,29,0,0,0,0,0
spielkind,de,-,-,16,16,0,0,0,0,0,0
kapoulas,el,-,-,57,57,0,0,0,0,0,0
andibing,en-GB,-,-,94874,94874,0,0,0,0,0,0
gehennem,eo,-,-,5079,5079,0,0,0,0,0,0
ccamacho,es,-,-,1176,1176,0,0,0,0,0,0
jmont,es-MX,-,-,26,26,0,0,0,0,0,0
nuyori,fi-FI,-,-,3963,3963,0,0,0,0,0,0
adri2000,fr,-,-,18,0,0,18,0,0,0,0
ciello89,fr,-,-,16,0,0,16,0,0,0,0
gael\_\_,fr,-,-,38,0,0,38,0,0,0,0
geraldlonlas,fr,-,-,85,0,0,85,0,0,0,0
jftalta,fr,-,-,2466,1663,0,803,0,1483,1483,0
linkid,fr,-,-,1766,1732,6,28,0,0,0,0
lnic,fr,-,-,272,215,0,57,0,0,0,0
oussemos,fr,-,-,19,0,0,19,0,0,0,0
plarivee,fr,-,-,26,0,0,26,0,0,0,0
romainsc,fr,-,-,16,0,0,16,0,0,0,0
ygbo,fr,-,-,3,0,0,3,0,3,3,0
suhartono,id,-,-,131443,131443,0,0,0,0,0,0
dynarro,it,-,-,2727,2671,56,0,0,0,0,0
itlinux,it,-,-,389,389,0,0,0,0,0,0
ltoscano,it,-,-,633,633,0,0,0,0,0,0
amotoki,ja,-,-,24817,20601,0,4216,0,0,0,0
hitomi_koba,ja,-,-,7,7,0,0,0,0,0,0
riku_kobane,ja,-,-,15,0,0,15,0,0,0,0
sasukeh,ja,-,-,9,0,0,9,0,0,0,0
shu,ja,-,-,3415,2507,0,908,0,0,0,0
tsuji,ja,-,-,65,65,0,0,0,0,0,0
ykatabam,ja,-,-,3110,1856,18,1236,0,6892,6892,0
yu_kasuya,ja,-,-,1358,1358,0,0,0,0,0,0
yukinori_yagisawa,ja,-,-,41,0,0,41,0,0,0,0
yusuke1219,ja,-,-,475,0,0,475,0,0,0,0
ardentpark,ko-KR,-,-,9147,9147,0,0,0,0,0,0
bnitech,ko-KR,-,-,615,615,0,0,0,0,0,0
chasetherabbit,ko-KR,-,-,364,364,0,0,0,0,0,0
csucom,ko-KR,-,-,435,435,0,0,0,0,0,0
ianychoi,ko-KR,-,-,5542,5339,0,203,0,209,209,0
jaeho93,ko-KR,-,-,209,209,0,0,0,0,0,0
jaewook_oh,ko-KR,-,-,133,133,0,0,0,0,0,0
james_kim,ko-KR,-,-,187,187,0,0,0,0,0,0
jongsoo_ha,ko-KR,-,-,5645,5645,0,0,0,0,0,0
lee_dogeon,ko-KR,-,-,225,169,56,0,0,0,0,0
minwookshin,ko-KR,-,-,181,181,0,0,0,0,0,0
nexusz99,ko-KR,-,-,117,117,0,0,0,0,0,0
norop00,ko-KR,-,-,345,345,0,0,0,0,0,0
seeung_kang,ko-KR,-,-,9574,9574,0,0,0,0,0,0
ts5516,ko-KR,-,-,5039,5039,0,0,0,0,0,0
ujuc,ko-KR,-,-,5211,5207,4,0,0,0,0,0
wonil22,ko-KR,-,-,263,263,0,0,0,0,0,0
woobee,ko-KR,-,-,5522,5522,0,0,0,0,0,0
surit,ne,-,-,184,184,0,0,0,0,0,0
deejay1,pl-PL,-,-,28,28,0,0,0,0,0,0
fcpimenta,pt-BR,-,-,1015,1015,0,0,0,0,0,0
franciosi,pt-BR,-,-,179,179,0,0,0,0,0,0
loures,pt-BR,-,-,824,824,0,0,0,0,0,0
adiantum,ru,-,-,1438,1438,0,0,0,0,0,0
noonedeadpunk,ru,-,-,4324,4323,1,0,0,0,0,0
gouthamr,te-IN,-,-,299,299,0,0,0,0,0,0
benjenwong,zh-CN,-,-,134,134,0,0,0,0,0,0
dayou,zh-CN,-,-,26,26,0,0,0,0,0,0
tfu,zh-CN,-,-,2438,2438,0,0,0,0,0,0
vuuv,zh-CN,-,-,2072,2054,18,0,0,0,0,0
yongxiangwang,zh-CN,-,-,564,564,0,0,0,0,0,0
zhubx007,zh-CN,-,-,49,49,0,0,0,0,0,0
dayou,zh-TW,-,-,26,26,0,0,0,0,0,0
igene,zh-TW,-,-,136,136,0,0,0,0,0,0
